,timesteps,ep_reward,num_updates,episodes
465,16,-24.521758289502614,0,465
466,14,-22.85052085746982,0,466
467,15,-22.67629177471573,0,467
468,15,-22.614617822690864,0,468
469,16,-20.782425946632177,0,469
470,15,-24.31371467320105,0,470
471,15,-13.976370908610692,0,471
472,76,-120.51129972861042,0,472
473,17,-19.782737942837045,0,473
474,15,-23.86222086482679,0,474
475,15,-22.974010955866824,0,475
476,14,-23.051153792448904,0,476
477,15,-15.394798897023412,0,477
478,14,-22.86837538978754,0,478
479,14,-21.51949752675641,0,479
480,16,-18.8401787410127,0,480
481,15,-15.09276956239477,0,481
482,15,-23.425062489778558,0,482
483,77,-122.32668910695298,0,483
484,16,-24.828947616549687,0,484
485,16,-26.812010404068275,0,485
486,15,-20.64767490507915,0,486
487,17,-23.975627605490473,0,487
488,14,-22.59232672498155,0,488
489,15,-23.298516097633748,0,489
490,19,-36.00300626817905,0,490
491,17,-15.927198478185472,0,491
492,16,-25.506052137033127,0,492
493,16,-25.505714277063028,0,493
494,75,-107.06932456858186,0,494
495,111,-167.65958064881812,1,495
496,16,-24.962103340429007,0,496
497,18,-29.843413233950802,0,497
498,16,-24.541286461569673,0,498
499,14,-22.308348574122572,0,499
500,16,-22.92545870922787,0,500
